Date,OPEN,HIGH,LOW,LAST_PRICE,CMA
26/12/2004,2409.1,2437.25,2402.82,2436.59,2449.0196428572
27/12/2004,2436.04,2462.13,2436.04,2458.03,2468.6378571429
28/12/2004,2458.03,2463.24,2448.39,2448.39,2508.3628571429
29/12/2004,2448.94,2492.14,2448.94,2488.7,2567.6421428572
30/12/2004,2493.69,2522.03,2493.48,2515.16,2599.7107142857
02/01/2005,2516.2,2612.58,2516.2,2608.11,2626.84
03/01/2005,2609.98,2721.5,2609.15,2716.7,2653.9357142857
04/01/2005,2675.4,2739.43,2640.51,2652.8,2681.3528571429
05/01/2005,2653.83,2672.02,2626.98,2663.93,2704.1135714286
06/01/2005,2666.8,2693.49,2655.86,2693.21,2719.0321428572
09/01/2005,2766.91,2788.04,2729.27,2729.47,2722.7346428572
10/01/2005,2729.47,2745.24,2698.16,2745.24,2709.9592857143
11/01/2005,2735.89,2752.52,2721.7,2746.74,2676.6775
12/01/2005,2746.13,2752.19,2720.12,2721.68,2655.53
13/01/2005,2721.68,2722.56,2640.35,2656.48,2643.8153571429
16/01/2005,2471.91,2582.66,2440.2,2574.98,2640.1914285714
17/01/2005,2617.08,2638.89,2604.47,2610.81,2632.9860714286
18/01/2005,2611.02,2653.21,2605.45,2636.77,2625.0803571429
24/01/2005,2637.38,2690.32,2637.38,2655.89,2622.5460714286
25/01/2005,2655.69,2674.64,2625.44,2628.8,2615.3839285714
26/01/2005,2627.57,2631.46,2592.99,2609.15,2610.4782142857
27/01/2005,2608.95,2616.18,2598.21,2614.56,2611.8792857143
30/01/2005,2621.19,2621.6,2589.04,2590.06,2615.6096428572
31/01/2005,2589.04,2603.67,2583.13,2601.24,2616.7464285714
01/02/2005,2602.47,2628.51,2594.15,2625.1,2617.5032142857
02/02/2005,2625.1,2634.79,2620.05,2632.75,2614.4521428572
03/02/2005,2632.34,2641.42,2617.92,2619.07,2615.5046428572
06/02/2005,2630.75,2650.81,2615.72,2616.16,2623.0289285714
07/02/2005,2616.57,2619.85,2596.87,2601.93,2631.9746428572
08/02/2005,2601.31,2627.64,2589.26,2616.54,2638.0139285714
10/02/2005,2616.74,2648.63,2612.62,2646.21,2641.5582142857
13/02/2005,2648.55,2667.24,2648.55,2658.32,2653.7625
14/02/2005,2658.11,2665.08,2646.82,2651.44,2668.6203571429
15/02/2005,2651.33,2653.67,2638.39,2644.13,2691.3242857143
16/02/2005,2666.8,2684.77,2664.78,2682.35,2702.2
17/02/2005,2683.17,2706.82,2683.17,2702.42,2706.7078571429
20/02/2005,2729.09,2765.02,2729.09,2748.16,2721.9478571429
21/02/2005,2747.95,2756.67,2718.8,2719.65,2743.3346428572
22/02/2005,2718.99,2735.42,2700.99,2704.67,2789.2571428572
23/02/2005,2705.29,2754.29,2704.28,2754.22,2827.7432142857
24/02/2005,2754.01,2805.84,2753.81,2793.49,2884.9203571429
27/02/2005,2848.13,2920,2845.47,2912.97,2950.1964285714
28/02/2005,2913.58,2944.48,2905.67,2916.17,2999.6692857143
01/03/2005,2916.17,3039.11,2913.04,3021.47,3062.6721428572
02/03/2005,3022.9,3109.85,3022.9,3092.91,3118.4264285714
03/03/2005,3095.16,3132.78,3072.98,3083.02,3163.0707142857
06/03/2005,3176.19,3203.57,3147.8,3191.19,3207.8421428572
07/03/2005,3191.74,3236.64,3191.74,3224.62,3246.0542857143
08/03/2005,3225.64,3265.2,3218.76,3241.77,3297.9389285714
09/03/2005,3251.64,3295.83,3229.54,3289.25,3338.1625
10/03/2005,3288.23,3326.59,3288.02,3316.31,3370.3564285714
13/03/2005,3377.34,3438.91,3377.34,3413.12,3399.5439285714
14/03/2005,3412.3,3436.33,3406.31,3412.22,3423.2796428572
15/03/2005,3412.22,3457.83,3412.22,3427.13,3443.1385714286
16/03/2005,3446.15,3476.34,3433.1,3448.81,3453.8992857143
